"","custId","category","division","sumAmount"
"1","C0041","daily necessities","baby products",164000
"2","C0139","daily necessities","baby products",44000
"3","C0141","daily necessities","baby products",316800
"4","C0170","daily necessities","baby products",35520
"5","C0178","daily necessities","baby products",31840
"6","C0217","daily necessities","baby products",24000
"7","C0345","daily necessities","baby products",44000
"8","C0363","daily necessities","baby products",40000
"9","C0425","daily necessities","baby products",436000
"10","C0472","daily necessities","baby products",87200
"11","C0567","daily necessities","baby products",143200
"12","C0637","daily necessities","baby products",27200
"13","C0698","daily necessities","baby products",96080
"14","C0756","daily necessities","baby products",60000
"15","C0919","daily necessities","baby products",30400
"16","C0964","daily necessities","baby products",41600
"17","C1024","daily necessities","baby products",95200
"18","C1125","daily necessities","baby products",111200
"19","C1143","daily necessities","baby products",198400
"20","C1344","daily necessities","baby products",31840
"21","C1449","daily necessities","baby products",87200
"22","C1553","daily necessities","baby products",208400
"23","C1608","daily necessities","baby products",87200
"24","C1636","daily necessities","baby products",69040
"25","C1681","daily necessities","baby products",110880
"26","C1720","daily necessities","baby products",27200
"27","C1756","daily necessities","baby products",120000
"28","C1781","daily necessities","baby products",47200
"29","C1857","daily necessities","baby products",31840
"30","C1883","daily necessities","baby products",122800
"31","C1908","daily necessities","baby products",189200
"32","C1962","daily necessities","baby products",135200
"33","C2211","daily necessities","baby products",12720
"34","C2259","daily necessities","baby products",63840
"35","C2315","daily necessities","baby products",68000
"36","C2317","daily necessities","baby products",143200
"37","C2356","daily necessities","baby products",45760
"38","C2474","daily necessities","baby products",104000
